agent_id,users_first_name,users_last_name,call_date,total_calls,unique_loans,completed_calls,avg_duration_min,presence,connect_rate
A001,AgentFirst1,AgentLast1,2025-04-28,20,20,2,0.11,1,0.1
A002,AgentFirst2,AgentLast2,2025-04-28,23,23,3,0.13,1,0.13
A003,AgentFirst3,AgentLast3,2025-04-28,21,21,8,0.12,1,0.38
A004,AgentFirst4,AgentLast4,2025-04-28,27,27,4,0.13,1,0.15
A005,AgentFirst5,AgentLast5,2025-04-28,29,28,4,0.12,0,0.14
A006,AgentFirst6,AgentLast6,2025-04-28,16,16,2,0.15,1,0.12
A007,AgentFirst7,AgentLast7,2025-04-28,24,23,5,0.12,1,0.21
A008,AgentFirst8,AgentLast8,2025-04-28,29,29,8,0.11,1,0.28
A009,AgentFirst9,AgentLast9,2025-04-28,26,25,7,0.12,1,0.27
A010,AgentFirst10,AgentLast10,2025-04-28,38,38,7,0.13,1,0.18
A011,AgentFirst11,AgentLast11,2025-04-28,22,22,5,0.15,1,0.23
A012,AgentFirst12,AgentLast12,2025-04-28,20,20,5,0.12,0,0.25
A013,AgentFirst13,AgentLast13,2025-04-28,22,22,2,0.11,1,0.09
A014,AgentFirst14,AgentLast14,2025-04-28,30,30,10,0.13,1,0.33
A015,AgentFirst15,AgentLast15,2025-04-28,28,27,4,0.14,1,0.14
A016,AgentFirst16,AgentLast16,2025-04-28,22,22,6,0.15,1,0.27
A017,AgentFirst17,AgentLast17,2025-04-28,20,19,2,0.11,1,0.1
A018,AgentFirst18,AgentLast18,2025-04-28,35,34,6,0.12,0,0.17
A019,AgentFirst19,AgentLast19,2025-04-28,27,27,6,0.12,1,0.22
A020,AgentFirst20,AgentLast20,2025-04-28,21,21,7,0.11,1,0.33
